"","state","gender","school","age","freq"
"381","Kansas","Male","private","35.and.over",4339
"382","Kentucky","Male","private","35.and.over",5193
"383","Louisiana","Male","private","35.and.over",4167
"384","Maine","Male","private","35.and.over",1656
"385","Maryland","Male","private","35.and.over",14027
"386","Massachusetts","Male","private","35.and.over",15064
"387","Michigan","Male","private","35.and.over",14467
"388","Minnesota","Male","private","35.and.over",8230
"389","Mississippi","Male","private","35.and.over",2581
"390","Missouri","Male","private","35.and.over",11139
"391","Montana","Male","private","35.and.over",1059
"392","Nebraska","Male","private","35.and.over",2248
"393","Nevada","Male","private","35.and.over",4633
"394","New Hampshire","Male","private","35.and.over",2364
"395","New Jersey","Male","private","35.and.over",16447
"396","New Mexico","Male","private","35.and.over",2714
"397","New York","Male","private","35.and.over",35295
"398","North Carolina","Male","private","35.and.over",14344
"399","North Dakota","Male","private","35.and.over",534
"400","Ohio","Male","private","35.and.over",16847
"401","Oklahoma","Male","private","35.and.over",4586
"402","Oregon","Male","private","35.and.over",5820
"403","Pennsylvania","Male","private","35.and.over",22634
"404","Rhode Island","Male","private","35.and.over",2228
"405","South Carolina","Male","private","35.and.over",6824
"406","South Dakota","Male","private","35.and.over",909
"407","Tennessee","Male","private","35.and.over",9715
"408","Texas","Male","private","35.and.over",31267
"409","Utah","Male","private","35.and.over",4596
"410","Vermont","Male","private","35.and.over",945
"411","Virginia","Male","private","35.and.over",18302
"412","Washington","Male","private","35.and.over",10913
"413","West Virginia","Male","private","35.and.over",2169
"414","Wisconsin","Male","private","35.and.over",8929
"415","Wyoming","Male","private","35.and.over",687
"416","Puerto Rico","Male","private","35.and.over",9035
"417","Alabama","Male","not enrolled","15.to.17",100574
"418","Alaska","Male","not enrolled","15.to.17",16311
"419","Arizona","Male","not enrolled","15.to.17",137484
"420","Arkansas","Male","not enrolled","15.to.17",60456
"421","California","Male","not enrolled","15.to.17",840179
"422","Colorado","Male","not enrolled","15.to.17",101993
"423","Connecticut","Male","not enrolled","15.to.17",76883
"424","Delaware","Male","not enrolled","15.to.17",18442
"425","District of Columbia","Male","not enrolled","15.to.17",8383
"426","Florida","Male","not enrolled","15.to.17",363356
"427","Georgia","Male","not enrolled","15.to.17",211570
"428","Hawaii","Male","not enrolled","15.to.17",25805
"429","Idaho","Male","not enrolled","15.to.17",36152
"430","Illinois","Male","not enrolled","15.to.17",279493
"431","Indiana","Male","not enrolled","15.to.17",141596
"432","Iowa","Male","not enrolled","15.to.17",63220
"433","Kansas","Male","not enrolled","15.to.17",61103
"434","Kentucky","Male","not enrolled","15.to.17",89137
"435","Louisiana","Male","not enrolled","15.to.17",95547
"436","Maine","Male","not enrolled","15.to.17",26347
"437","Maryland","Male","not enrolled","15.to.17",121276
"438","Massachusetts","Male","not enrolled","15.to.17",132263
"439","Michigan","Male","not enrolled","15.to.17",220625
"440","Minnesota","Male","not enrolled","15.to.17",112694
"441","Mississippi","Male","not enrolled","15.to.17",64130
"442","Missouri","Male","not enrolled","15.to.17",126164
"443","Montana","Male","not enrolled","15.to.17",19946
"444","Nebraska","Male","not enrolled","15.to.17",38417
"445","Nevada","Male","not enrolled","15.to.17",56448
"446","New Hampshire","Male","not enrolled","15.to.17",27794
"447","New Jersey","Male","not enrolled","15.to.17",187733
"448","New Mexico","Male","not enrolled","15.to.17",43920
"449","New York","Male","not enrolled","15.to.17",397355
"450","North Carolina","Male","not enrolled","15.to.17",194246
"451","North Dakota","Male","not enrolled","15.to.17",13416
"452","Ohio","Male","not enrolled","15.to.17",246481
"453","Oklahoma","Male","not enrolled","15.to.17",78406
"454","Oregon","Male","not enrolled","15.to.17",76053
"455","Pennsylvania","Male","not enrolled","15.to.17",263147
"456","Rhode Island","Male","not enrolled","15.to.17",20991
"457","South Carolina","Male","not enrolled","15.to.17",93036
"458","South Dakota","Male","not enrolled","15.to.17",17567
"459","Tennessee","Male","not enrolled","15.to.17",130949
"460","Texas","Male","not enrolled","15.to.17",574119
"461","Utah","Male","not enrolled","15.to.17",66640
"462","Vermont","Male","not enrolled","15.to.17",12580
"463","Virginia","Male","not enrolled","15.to.17",161950
"464","Washington","Male","not enrolled","15.to.17",138573
"465","West Virginia","Male","not enrolled","15.to.17",34771
"466","Wisconsin","Male","not enrolled","15.to.17",120381
"467","Wyoming","Male","not enrolled","15.to.17",11446
"468","Puerto Rico","Male","not enrolled","15.to.17",83465
"469","Alabama","Male","not enrolled","18.to.24",156705
"470","Alaska","Male","not enrolled","18.to.24",32719
"471","Arizona","Male","not enrolled","18.to.24",220001
"472","Arkansas","Male","not enrolled","18.to.24",96340
"473","California","Male","not enrolled","18.to.24",1204366
"474","Colorado","Male","not enrolled","18.to.24",160491
"475","Connecticut","Male","not enrolled","18.to.24",95735
"476","Delaware","Male","not enrolled","18.to.24",27478
"477","District of Columbia","Male","not enrolled","18.to.24",20494
"478","Florida","Male","not enrolled","18.to.24",565530
"479","Georgia","Male","not enrolled","18.to.24",339532
"480","Hawaii","Male","not enrolled","18.to.24",49420
"481","Idaho","Male","not enrolled","18.to.24",52417
"482","Illinois","Male","not enrolled","18.to.24",381687
"483","Indiana","Male","not enrolled","18.to.24",203341
"484","Iowa","Male","not enrolled","18.to.24",89304
"485","Kansas","Male","not enrolled","18.to.24",91472
"486","Kentucky","Male","not enrolled","18.to.24",142163
"487","Louisiana","Male","not enrolled","18.to.24",159772
"488","Maine","Male","not enrolled","18.to.24",37412
"489","Maryland","Male","not enrolled","18.to.24",171960
"490","Massachusetts","Male","not enrolled","18.to.24",173990
"491","Michigan","Male","not enrolled","18.to.24",283720
"492","Minnesota","Male","not enrolled","18.to.24",154075
"493","Mississippi","Male","not enrolled","18.to.24",101000
"494","Missouri","Male","not enrolled","18.to.24",189706
"495","Montana","Male","not enrolled","18.to.24",31859
"496","Nebraska","Male","not enrolled","18.to.24",54962
"497","Nevada","Male","not enrolled","18.to.24",93775
"498","New Hampshire","Male","not enrolled","18.to.24",37235
"499","New Jersey","Male","not enrolled","18.to.24",230438
"500","New Mexico","Male","not enrolled","18.to.24",71740
"501","New York","Male","not enrolled","18.to.24",557763
"502","North Carolina","Male","not enrolled","18.to.24",313884
"503","North Dakota","Male","not enrolled","18.to.24",25028
"504","Ohio","Male","not enrolled","18.to.24",336653
"505","Oklahoma","Male","not enrolled","18.to.24",131783
"506","Oregon","Male","not enrolled","18.to.24",115991
"507","Pennsylvania","Male","not enrolled","18.to.24",368732
"508","Rhode Island","Male","not enrolled","18.to.24",28967
"509","South Carolina","Male","not enrolled","18.to.24",162020
"510","South Dakota","Male","not enrolled","18.to.24",26262
"511","Tennessee","Male","not enrolled","18.to.24",201328
"512","Texas","Male","not enrolled","18.to.24",888211
"513","Utah","Male","not enrolled","18.to.24",95035
"514","Vermont","Male","not enrolled","18.to.24",17894
"515","Virginia","Male","not enrolled","18.to.24",257426
"516","Washington","Male","not enrolled","18.to.24",226407
"517","West Virginia","Male","not enrolled","18.to.24",54127
"518","Wisconsin","Male","not enrolled","18.to.24",170635
"519","Wyoming","Male","not enrolled","18.to.24",20054
"520","Puerto Rico","Male","not enrolled","18.to.24",115218
"521","Alabama","Male","not enrolled","25.to.34",270655
"522","Alaska","Male","not enrolled","25.to.34",46603
"523","Arizona","Male","not enrolled","25.to.34",384510
"524","Arkansas","Male","not enrolled","25.to.34",171021
"525","California","Male","not enrolled","25.to.34",2392835
"526","Colorado","Male","not enrolled","25.to.34",332060
"527","Connecticut","Male","not enrolled","25.to.34",187841
"528","Delaware","Male","not enrolled","25.to.34",49643
"529","District of Columbia","Male","not enrolled","25.to.34",50077
"530","Florida","Male","not enrolled","25.to.34",1024538
"531","Georgia","Male","not enrolled","25.to.34",590453
"532","Hawaii","Male","not enrolled","25.to.34",85014
"533","Idaho","Male","not enrolled","25.to.34",90775
"534","Illinois","Male","not enrolled","25.to.34",790868
"535","Indiana","Male","not enrolled","25.to.34",373150
"536","Iowa","Male","not enrolled","25.to.34",174657
"537","Kansas","Male","not enrolled","25.to.34",169740
"538","Kentucky","Male","not enrolled","25.to.34",254726
"539","Louisiana","Male","not enrolled","25.to.34",284252
"540","Maine","Male","not enrolled","25.to.34",65713
"541","Maryland","Male","not enrolled","25.to.34",325398
"542","Massachusetts","Male","not enrolled","25.to.34",364843
"543","Michigan","Male","not enrolled","25.to.34",506933
"544","Minnesota","Male","not enrolled","25.to.34",322351
"545","Mississippi","Male","not enrolled","25.to.34",171990
"546","Missouri","Male","not enrolled","25.to.34",343516
"547","Montana","Male","not enrolled","25.to.34",55801
"548","Nebraska","Male","not enrolled","25.to.34",109451
"549","Nevada","Male","not enrolled","25.to.34",179377
"550","New Hampshire","Male","not enrolled","25.to.34",65709
"551","New Jersey","Male","not enrolled","25.to.34",503577
"552","New Mexico","Male","not enrolled","25.to.34",117621
"553","New York","Male","not enrolled","25.to.34",1177942
"554","North Carolina","Male","not enrolled","25.to.34",551551
"555","North Dakota","Male","not enrolled","25.to.34",42505
"556","Ohio","Male","not enrolled","25.to.34",625789
"557","Oklahoma","Male","not enrolled","25.to.34",230354
"558","Oregon","Male","not enrolled","25.to.34",232308
"559","Pennsylvania","Male","not enrolled","25.to.34",687496
"560","Rhode Island","Male","not enrolled","25.to.34",56506
"561","South Carolina","Male","not enrolled","25.to.34",266961
"562","South Dakota","Male","not enrolled","25.to.34",48656
"563","Tennessee","Male","not enrolled","25.to.34",371237
"564","Texas","Male","not enrolled","25.to.34",1638255
"565","Utah","Male","not enrolled","25.to.34",182340
"566","Vermont","Male","not enrolled","25.to.34",31440
"567","Virginia","Male","not enrolled","25.to.34",478077
"568","Washington","Male","not enrolled","25.to.34",427011
"569","West Virginia","Male","not enrolled","25.to.34",100134
"570","Wisconsin","Male","not enrolled","25.to.34",328002
"571","Wyoming","Male","not enrolled","25.to.34",36108
